Date,Price,Date2,Open,High,Low,closed price,Vol.,Change %,absolute,Volatility,,daily volatility in %,,,,,,,,,,,,,,,,,,,
"Dec 09, 2020",22.27,"Dec 09, 2020",20.66,22.93,20.1,22.27,-,7.69%,8%,2.83,Highest price ever,13.70%,,,,,,,,,,,,,,,,,,,
"Dec 08, 2020",20.68,"Dec 08, 2020",21.65,22.25,20.52,20.68,-,-2.91%,3%,1.73,₹ 85.47,7.99%,,,,,,,,,,,,,,,,,,,
"Dec 07, 2020",21.3,"Dec 07, 2020",22.04,22.62,21.17,21.3,-,2.45%,2%,1.45,Lowest price ever,6.58%,,,,,,,,,,,,,,,,,,,
"Dec 04, 2020",20.79,"Dec 04, 2020",21.05,21.15,19.97,20.79,-,-2.30%,2%,1.18,₹ 11.42,5.61%,,,,,,,,,,,,,,,,,,,
"Dec 03, 2020",21.28,"Dec 03, 2020",21.24,21.88,20.72,21.28,-,0.52%,1%,1.16,Standard deviation,5.46%,,,,,,,,,,,,,,,,,,,
"Dec 02, 2020",21.17,"Dec 02, 2020",21,21.25,20.04,21.17,-,1.93%,2%,1.21,13.00738286,5.76%,,,,,,,,,,,,,,,,,,,
"Dec 01, 2020",20.77,"Dec 01, 2020",20.21,20.92,20,20.77,-,0.97%,1%,0.92,Highest price movement,4.55%,,,,,,,,,,,,,,,,,,,
"Nov 30, 2020",20.57,"Nov 30, 2020",22.64,22.89,20.48,20.57,-,-1.30%,1%,2.41,0.4795,10.64%,,,,,,,,,,,,,,,,,,,
"Nov 27, 2020",20.84,"Nov 27, 2020",21.52,21.6,19.51,20.84,-,-1.93%,2%,2.09,Lowest price movement,9.71%,,,,,,,,,,,,,,,,,,,
"Nov 26, 2020",21.25,"Nov 26, 2020",21.25,21.25,21.25,21.25,-,0.00%,0%,0,0,0.00%,,,,,,,,,,,,,,,,,,,
"Nov 25, 2020",21.25,"Nov 25, 2020",21.65,22.5,21.13,21.25,-,-1.80%,2%,1.37,Average Daily volatility,6.33%,,,,,,,,,,,,,,,,,,,
"Nov 24, 2020",21.64,"Nov 24, 2020",22.04,22.48,20.8,21.64,-,-4.50%,5%,1.68,12.00%,7.62%,,,,,,,,,,,,,,,,,,,
